FLUX,VALUE
FLUX.137,-6.14
FLUX.138,-8.19
FLUX.139,-8.07
FLUX.140,-10.51
FLUX.141,-0.91
FLUX.142,-4.68
FLUX.143,2.34
FLUX.144,-1.65
FLUX.145,-10.64
FLUX.146,-5.23
FLUX.147,-13.11
FLUX.148,-3.04
FLUX.149,-3.31
FLUX.150,-5.57
FLUX.151,-3.61
FLUX.152,-4.87
FLUX.153,7.23
FLUX.154,9.22
FLUX.155,4.33
FLUX.156,12.65
FLUX.157,10.13
FLUX.158,14.82
FLUX.159,14.83
FLUX.160,9.48
FLUX.161,2.83
FLUX.162,-2.95
FLUX.163,-3.31
FLUX.164,-6.01
FLUX.165,-8.85
FLUX.166,-3.8
FLUX.167,-2.56
FLUX.168,-2.01
FLUX.169,-6.41
FLUX.170,-4.24
FLUX.171,-5.46
FLUX.172,-4.46
FLUX.173,-5.21
FLUX.174,-8.89
FLUX.175,-7.92
FLUX.176,-6.37
FLUX.177,-6.37
FLUX.178,-10.53
FLUX.179,-2.92
FLUX.180,-4.64
FLUX.181,-9.61
FLUX.182,-15.32
FLUX.183,5.48
FLUX.184,-10.38
FLUX.185,-7.37
FLUX.186,-6.78
FLUX.187,-5.74
FLUX.188,-3.23
FLUX.189,-9.18
FLUX.190,-3.88
FLUX.191,-1.55
FLUX.192,-11.73
FLUX.193,-10.44
FLUX.194,-4.89
FLUX.195,-2.92
FLUX.196,-9.89
FLUX.197,-5.78
FLUX.198,-1.62
FLUX.199,-7.62
FLUX.200,-3.41
FLUX.201,-1.98
FLUX.202,-2.63
FLUX.203,-3.27
FLUX.204,-2.73
FLUX.205,1.53
FLUX.206,4.61
FLUX.207,3.84
FLUX.208,-1.62
FLUX.209,-5.72
FLUX.210,1.59
FLUX.211,-2.42
FLUX.212,2.11
FLUX.213,-0.01
FLUX.214,0.23
FLUX.215,1.91
FLUX.216,-7.63
FLUX.217,-16.04
FLUX.218,4.38
FLUX.219,0.76
FLUX.220,2.38
FLUX.221,-5.15
FLUX.222,-3.68
FLUX.223,-5.42
FLUX.224,-6.91
FLUX.225,0.21
FLUX.226,-15.01
FLUX.227,-4.14
FLUX.228,-2.43
FLUX.229,-8.12
FLUX.230,-6.27
FLUX.231,-4.11
FLUX.232,-11.84
FLUX.233,-6.68
FLUX.234,0.42
FLUX.235,-5.88
FLUX.236,7.05
FLUX.237,-5.67
FLUX.238,-3.27
FLUX.239,-5.87
FLUX.240,-2.95
FLUX.241,-0.98
FLUX.242,2.08
FLUX.243,5.3
FLUX.244,-0.23
FLUX.245,3.97
FLUX.246,11.48
FLUX.247,8.94
FLUX.248,-6.51
FLUX.249,6.8
FLUX.250,8.89
FLUX.251,1.94
FLUX.252,11.45
FLUX.253,9.86
FLUX.254,-20.57
FLUX.255,-4.77
FLUX.256,-6.55
FLUX.257,-7.92
FLUX.258,-8.51
FLUX.259,-9.06
FLUX.260,-5.34
FLUX.261,-12.96
FLUX.262,-5.82
FLUX.263,-1.26
FLUX.264,2.8
FLUX.265,-3.12
FLUX.266,-6.76
FLUX.267,-4.82
FLUX.268,-9.57
FLUX.269,-4.5
FLUX.270,0.84
FLUX.271,-6.25
FLUX.272,-8.08
FLUX.273,5.78
FLUX.274,-0.29
FLUX.275,-1.28
FLUX.276,-4.84
FLUX.277,-6.19
FLUX.278,-4.47
FLUX.279,-9.79
FLUX.280,-3.15
FLUX.281,-2.75
FLUX.282,-5.91
FLUX.283,-9.27
FLUX.284,-7.41
FLUX.285,-11.06
FLUX.286,-8.07
FLUX.287,-3.36
FLUX.288,-6.41
FLUX.289,-0.54
FLUX.290,-0.7
FLUX.291,-3.41
FLUX.292,-1.88
FLUX.293,-3.76
FLUX.294,-2.95
FLUX.295,-5.15
FLUX.296,-1.81
FLUX.297,-1.1
FLUX.298,-10.6
FLUX.299,-1.27
FLUX.300,-3.58
FLUX.301,3.67
FLUX.302,-0.63
FLUX.303,-0.38
FLUX.304,24.32
FLUX.305,-5.05
FLUX.306,-6.67
FLUX.307,-4.48
FLUX.308,-5.31
FLUX.309,-3.94
FLUX.310,-0.49
FLUX.311,2.97
FLUX.312,-4.84
FLUX.313,-10.71
FLUX.314,0.62
FLUX.315,-6.16
FLUX.316,-8.38
FLUX.317,-1.87
FLUX.318,-2.68
FLUX.319,1.33
FLUX.320,6.11
FLUX.321,0.62
FLUX.322,-7.96
FLUX.323,-7.32
FLUX.324,-3.34
FLUX.325,-5.39
FLUX.326,-2.15
FLUX.327,-0.75
FLUX.328,-2.09
FLUX.329,-5.13
FLUX.330,-7.69
FLUX.331,-5.44
FLUX.332,-7.89
FLUX.333,-1.41
FLUX.334,-9.11
FLUX.335,-2.14
FLUX.336,-7.88
FLUX.337,-0.94
FLUX.338,-4.42
FLUX.339,-6.24
FLUX.340,-1.07
FLUX.341,4.65
FLUX.342,3.09
FLUX.343,-2.19
FLUX.344,-2.97
FLUX.345,-3.21
FLUX.346,-0.07
FLUX.347,-4.33
FLUX.348,3.75
FLUX.349,-2.25
FLUX.350,-5.39
FLUX.351,-4.69
FLUX.352,4.6
FLUX.353,-8.54
FLUX.354,-7.24
FLUX.355,-0.22
FLUX.356,-4.24
FLUX.357,-5.64
FLUX.358,-5.49
FLUX.359,1.41
FLUX.360,-8.53
FLUX.361,4.86
FLUX.362,-5.2
FLUX.363,-8.99
FLUX.364,-12.15
FLUX.365,11.82
FLUX.366,-7.45
FLUX.367,-0.76
FLUX.368,-12.82
FLUX.369,-5.98
FLUX.370,-2.56
FLUX.371,-5.67
FLUX.372,-3.45
FLUX.373,-7.97
FLUX.374,-3.93
FLUX.375,-2.63
FLUX.376,6.64
FLUX.377,-0.16
FLUX.378,-2.33
FLUX.379,-1.68
FLUX.380,-0.8
FLUX.381,16.66
FLUX.382,-0.6
FLUX.383,3.2
FLUX.384,-2.96
FLUX.385,-4.86
FLUX.386,-2.51
FLUX.387,1.55
FLUX.388,-9.64
FLUX.389,-2.89
FLUX.390,-2.46
FLUX.391,-6.8
FLUX.392,-2.56
FLUX.393,-5.16
FLUX.394,-2.22
FLUX.395,-6.88
FLUX.396,-2.49
FLUX.397,-4.07
FLUX.398,-1.18
FLUX.399,-0.47
FLUX.400,-6.68
FLUX.401,-0.1
FLUX.402,2.12
FLUX.403,-9.03
FLUX.404,-1.81
FLUX.405,-8.54
FLUX.406,-4.81
FLUX.407,-3.43
FLUX.408,0.3
FLUX.409,-4.89
FLUX.410,-7.72
FLUX.411,-6.21
FLUX.412,-5.14
FLUX.413,-6.75
FLUX.414,3.57
FLUX.415,-8.16
FLUX.416,-13.66
FLUX.417,-1.15
FLUX.418,1.54
FLUX.419,2.84
FLUX.420,-4.95
FLUX.421,0.82
FLUX.422,-1.62
FLUX.423,-3.01
FLUX.424,-2.21
FLUX.425,-10.69
FLUX.426,-2.65
FLUX.427,-1.33
FLUX.428,-7.35
FLUX.429,-3.43
FLUX.430,36.05
FLUX.431,3.79
FLUX.432,1.85
FLUX.433,1.95
FLUX.434,-0.75
FLUX.435,2.89
FLUX.436,-2.17
FLUX.437,4.83
FLUX.438,0.58
FLUX.439,-1.88
FLUX.440,-0.53
FLUX.441,-0.27
FLUX.442,0.28
FLUX.443,-5.63
FLUX.444,2.11
FLUX.445,3.15
FLUX.446,-10.7
FLUX.447,2.3
FLUX.448,-5.58
FLUX.449,2.88
FLUX.450,-1.45
FLUX.451,-3.76
FLUX.452,7.86
FLUX.453,-1.69
FLUX.454,0.19
FLUX.455,-2.8
FLUX.456,-0.34
FLUX.457,0.62
FLUX.458,-1.83
FLUX.459,-8.04
FLUX.460,-0.48
FLUX.461,-0.66
FLUX.462,-4.75
FLUX.463,-3.92
FLUX.464,-5.63
FLUX.465,-5.09
FLUX.466,1.86
FLUX.467,-5.28
FLUX.468,-6.33
FLUX.469,-2.54
FLUX.470,-7.19
FLUX.471,0.88
FLUX.472,12.46
FLUX.473,0.38
FLUX.474,4.49
FLUX.475,-4.3
FLUX.476,-1.6
FLUX.477,-1.74
FLUX.478,-7.61
FLUX.479,-5.78
FLUX.480,0.57
FLUX.481,-3.79
FLUX.482,0.01
FLUX.483,-5.01
FLUX.484,-2.01
FLUX.485,-0.64
FLUX.486,-3.02
FLUX.487,-3.81
FLUX.488,-1.23
FLUX.489,-1.55
FLUX.490,0.18
FLUX.491,1.21
FLUX.492,-6.43
FLUX.493,-2.95
FLUX.494,-3.54
FLUX.495,-0.84
FLUX.496,1.7
FLUX.497,0.93
FLUX.498,-0.36
FLUX.499,-10.08
FLUX.500,-8.01
FLUX.501,-0.39
FLUX.502,-4.34
FLUX.503,1.74
FLUX.504,-3.42
FLUX.505,-2.17
FLUX.506,1.31
FLUX.507,-1.92
FLUX.508,1.66
FLUX.509,0.38
FLUX.510,-3.21
FLUX.511,-3.56
FLUX.512,-1.27
FLUX.513,6.66
FLUX.514,4.85
FLUX.515,-0.11
FLUX.516,0.01
FLUX.517,1.17
FLUX.518,0.02
FLUX.519,2.18
FLUX.520,-0.05
FLUX.521,1.65
FLUX.522,1.19
FLUX.523,5.87
FLUX.524,-1.65
FLUX.525,0.16
FLUX.526,1.84
FLUX.527,2.66
FLUX.528,0.49
FLUX.529,-0.24
FLUX.530,-0.87
FLUX.531,2.34
FLUX.532,1.29
FLUX.533,-5.79
FLUX.534,-3.81
FLUX.535,1.96
FLUX.536,7
FLUX.537,-1.41
FLUX.538,8.03
FLUX.539,-5.49
FLUX.540,-2.35
FLUX.541,1.57
FLUX.542,7.74
FLUX.543,-0.21
FLUX.544,-1.73
FLUX.545,-1.38
FLUX.546,2.97
FLUX.547,-2.51
FLUX.548,-4.32
FLUX.549,5.45
FLUX.550,-1.92
FLUX.551,-0.59
FLUX.552,-5.38
FLUX.553,-0.66
FLUX.554,2.27
FLUX.555,4.27
FLUX.556,3.99
FLUX.557,0.65
FLUX.558,2.96
FLUX.559,68.83
FLUX.560,-1.56
FLUX.561,-1.99
FLUX.562,0.38
FLUX.563,6.14
FLUX.564,-2.71
FLUX.565,-3.01
FLUX.566,3.74
FLUX.567,-1.47
FLUX.568,5.92
FLUX.569,-1.93
FLUX.570,4.47
FLUX.571,2.56
FLUX.572,-1.15
FLUX.573,0.88
FLUX.574,-0.52
FLUX.575,2.06
FLUX.576,1.68
FLUX.577,1.38
FLUX.578,2.66
FLUX.579,3.36
FLUX.580,-4.66
FLUX.581,-2.01
FLUX.582,-0.32
FLUX.583,10.97
FLUX.584,-1.39
FLUX.585,-1.26
FLUX.586,0.59
FLUX.587,-3.91
FLUX.588,1.25
FLUX.589,-2.73
FLUX.590,-0.42
FLUX.591,5.42
FLUX.592,2.53
FLUX.593,2.17
FLUX.594,-4.5
FLUX.595,-11.43
FLUX.596,-5.92
FLUX.597,-4.27
FLUX.598,-1.3
FLUX.599,0.82
FLUX.600,-3.15
FLUX.601,3.04
FLUX.602,-1.55
FLUX.603,-4.68
FLUX.604,3.17
FLUX.605,0.78
FLUX.606,-5.52
FLUX.607,4.05
FLUX.608,7.67
FLUX.609,4.56
FLUX.610,3.53
FLUX.611,2.37
FLUX.612,0.56
FLUX.613,-2.27
FLUX.614,-3.91
FLUX.615,2.86
FLUX.616,-3.08
FLUX.617,-9.86
FLUX.618,-7.51
FLUX.619,-7.11
FLUX.620,-3.8
FLUX.621,-7
FLUX.622,-7.62
FLUX.623,-15.11
FLUX.624,-14.58
FLUX.625,-4.67
FLUX.626,0.25
FLUX.627,2.88
FLUX.628,-3.94
FLUX.629,-3.71
FLUX.630,-2.7
FLUX.631,0.33
FLUX.632,-3.77
FLUX.633,-5.8
FLUX.634,1.26
FLUX.635,9.05
FLUX.636,-0.14
FLUX.637,4.24
FLUX.638,5.38
FLUX.639,3.27
FLUX.640,-2.44
FLUX.641,-1.91
FLUX.642,-4.39
FLUX.643,-2.08
FLUX.644,8.44
FLUX.645,4.46
FLUX.646,9.2
FLUX.647,1.22
FLUX.648,4.04
FLUX.649,-5.59
FLUX.650,-5.02
FLUX.651,1.52
FLUX.652,-7.8
FLUX.653,-0.07
FLUX.654,1.28
FLUX.655,3.01
FLUX.656,-3.34
FLUX.657,-3.37
FLUX.658,-1.22
FLUX.659,-3.44
FLUX.660,0.08
FLUX.661,3.63
FLUX.662,7.94
FLUX.663,0.07
FLUX.664,3.93
FLUX.665,3.01
FLUX.666,1.9
FLUX.667,4.01
FLUX.668,2.24
FLUX.669,0.79
FLUX.670,0.28
FLUX.671,4.92
FLUX.672,3.43
FLUX.673,-2.05
FLUX.674,7.07
FLUX.675,0.11
FLUX.676,5.08
FLUX.677,7.06
FLUX.678,8.18
FLUX.679,-4.01
FLUX.680,2.32
FLUX.681,1.99
FLUX.682,-2.41
FLUX.683,-3.37
FLUX.684,-3.15
FLUX.685,0.08
FLUX.686,9.24
FLUX.687,-5.77
FLUX.688,-4.58
FLUX.689,-4.01
FLUX.690,-11.9
FLUX.691,-8.26
FLUX.692,-4.47
FLUX.693,-4.02
FLUX.694,-13.63
FLUX.695,3.65
FLUX.696,3.26
FLUX.697,3.73
FLUX.698,-2.18
FLUX.699,1.37
FLUX.700,-4.27
FLUX.701,0.26
FLUX.702,-2.3
FLUX.703,0.67
FLUX.704,2.38
FLUX.705,0.56
FLUX.706,2.21
FLUX.707,13.5
FLUX.708,3.87
FLUX.709,12.87
FLUX.710,7.81
FLUX.711,2.66
FLUX.712,4.73
FLUX.713,7.56
FLUX.714,4.62
FLUX.715,1.7
FLUX.716,-2.71
FLUX.717,6.37
FLUX.718,4.25
FLUX.719,-5.68
FLUX.720,-5.04
FLUX.721,5.15
FLUX.722,-3.32
FLUX.723,-6.69
FLUX.724,-3.36
FLUX.725,-6.5
FLUX.726,23.49
FLUX.727,-11.19
FLUX.728,-8.49
FLUX.729,-6.7
FLUX.730,6.59
FLUX.731,0.38
FLUX.732,4.42
FLUX.733,-0.62
FLUX.734,1.66
FLUX.735,6.34
FLUX.736,1.91
FLUX.737,-2.38
FLUX.738,14.05
FLUX.739,9.54
FLUX.740,-2.85
FLUX.741,7.35
FLUX.742,-0.21
FLUX.743,-2.37
FLUX.744,-1.27
FLUX.745,0.74
FLUX.746,-6.03
FLUX.747,-0.41
FLUX.748,1.82
FLUX.749,4.77
FLUX.750,-0.23
FLUX.751,3.44
FLUX.752,6.28
FLUX.753,-1.8
FLUX.754,-0.04
FLUX.755,6.52
FLUX.756,-1.47
FLUX.757,8.18
FLUX.758,9.08
FLUX.759,1.58
FLUX.760,-8.86
FLUX.761,3.6
FLUX.762,0.02
FLUX.763,8.73
FLUX.764,4.18
FLUX.765,3.25
FLUX.766,3.37
FLUX.767,3.92
FLUX.768,0.17
FLUX.769,1.12
FLUX.770,2.34
FLUX.771,-1.83
FLUX.772,0.29
FLUX.773,-2.79
FLUX.774,-4.99
FLUX.775,1.48
FLUX.776,-1.36
FLUX.777,1.12
FLUX.778,-2.08
FLUX.779,-2.96
FLUX.780,-4.63
FLUX.781,-7.04
FLUX.782,-6.77
FLUX.783,-5.6
FLUX.784,-11.72
FLUX.785,-1.06
FLUX.786,-1.59
FLUX.787,-4.05
FLUX.788,2.55
FLUX.789,6.65
FLUX.790,6.51
FLUX.791,7.71
FLUX.792,-0.72
FLUX.793,3.85
FLUX.794,-3.04
FLUX.795,3.62
FLUX.796,3.92
FLUX.797,14.38
FLUX.798,10.99
FLUX.799,0.93
FLUX.800,4.61
FLUX.801,2.2
FLUX.802,5.83
FLUX.803,-0.19
FLUX.804,-3.08
FLUX.805,-0.85
FLUX.806,-3.53
FLUX.807,-7.47
FLUX.808,-7.92
FLUX.809,-12.03
FLUX.810,-10.2
FLUX.811,-4.89
FLUX.812,-11.93
FLUX.813,-3.55
FLUX.814,-6.11
FLUX.815,-5.12
FLUX.816,-3.52
FLUX.817,-9.19
FLUX.818,-3.36
FLUX.819,-10.15
FLUX.820,-13.47
FLUX.821,-5.12
FLUX.822,-10.2
FLUX.823,5.81
FLUX.824,-3.17
FLUX.825,-1.56
FLUX.826,7.89
FLUX.827,10.63
FLUX.828,4.47
FLUX.829,6.81
FLUX.830,0.35
FLUX.831,3.61
FLUX.832,2.35
FLUX.833,-3.06
FLUX.834,-0.43
FLUX.835,0.87
FLUX.836,4.48
FLUX.837,11.59
FLUX.838,6.62
FLUX.839,0.6
FLUX.840,4.06
FLUX.841,4.74
FLUX.842,13.56
FLUX.843,12.9
FLUX.844,3.57
FLUX.845,5.86
FLUX.846,6.44
FLUX.847,2.14
FLUX.848,5.54
FLUX.849,-1.1
FLUX.850,-1.58
FLUX.851,-1.33
FLUX.852,5.86
FLUX.853,-3.91
FLUX.854,2.08
FLUX.855,-1.04
FLUX.856,0.38
FLUX.857,-1.95
FLUX.858,8.92
FLUX.859,3.23
FLUX.860,2.89
FLUX.861,3.91
FLUX.862,-2.85
FLUX.863,5.31
FLUX.864,8.83
FLUX.865,12.75
FLUX.866,5.58
FLUX.867,4.9
FLUX.868,2.12
FLUX.869,0.96
FLUX.870,-3.02
FLUX.871,4.42
FLUX.872,-0.59
FLUX.873,3.35
FLUX.874,-0.48
FLUX.875,3.13
FLUX.876,3.2
FLUX.877,-3.19
FLUX.878,4.6
FLUX.879,7.39
FLUX.880,-0.49
FLUX.881,5.45
FLUX.882,1.95
FLUX.883,7.07
FLUX.884,2.61
FLUX.885,5.71
FLUX.886,10.22
FLUX.887,1.72
FLUX.888,0.12
FLUX.889,8.03
FLUX.890,14.84
FLUX.891,-5.37
FLUX.892,-1.06
FLUX.893,-3.94
FLUX.894,-10.2
FLUX.895,-5.15
FLUX.896,-2.19
FLUX.897,-4.79
FLUX.898,-3.45
FLUX.899,8.55
FLUX.900,-7.88
FLUX.901,20.36
FLUX.902,2.56
FLUX.903,3.22
FLUX.904,6.92
FLUX.905,5.83
FLUX.906,13.99
FLUX.907,2.7
FLUX.908,5.44
FLUX.909,1.9
FLUX.910,4.78
FLUX.911,7.19
FLUX.912,-0.04
FLUX.913,3.43
FLUX.914,-3.26
FLUX.915,-6.63
FLUX.916,-2.74
FLUX.917,-3.75
FLUX.918,-2.56
FLUX.919,-5.22
FLUX.920,-6.05
FLUX.921,-3.98
FLUX.922,-2.29
FLUX.923,-7.79
FLUX.924,-8.56
FLUX.925,3.8
FLUX.926,1.49
FLUX.927,4.67
FLUX.928,0.11
FLUX.929,0.1
FLUX.930,-7.24
FLUX.931,-0.81
FLUX.932,1.34
FLUX.933,-0.9
FLUX.934,-3.07
FLUX.935,14.77
FLUX.936,3.87
FLUX.937,5.76
FLUX.938,7.5
FLUX.939,4.22
FLUX.940,3.8
FLUX.941,-1.05
FLUX.942,-2.96
FLUX.943,-2.31
FLUX.944,3.8
FLUX.945,6.36
FLUX.946,6.14
FLUX.947,-1.14
FLUX.948,3.09
FLUX.949,-3.75
FLUX.950,-3.69
FLUX.951,-2.93
FLUX.952,0.8
FLUX.953,6.39
FLUX.954,-4.61
FLUX.955,-3.01
FLUX.956,-4.75
FLUX.957,0.93
FLUX.958,7.71
FLUX.959,1.07
FLUX.960,10.47
FLUX.961,3.77
FLUX.962,6.24
FLUX.963,6.92
FLUX.964,5.97
FLUX.965,7.43
FLUX.966,6.48
FLUX.967,1.57
FLUX.968,4.67
FLUX.969,5.56
FLUX.970,4.84
FLUX.971,-1.67
FLUX.972,-7.17
FLUX.973,-9.37
FLUX.974,2.91
FLUX.975,2.14
FLUX.976,2.7
FLUX.977,-3.32
FLUX.978,5.5
FLUX.979,0.94
FLUX.980,-3.09
FLUX.981,6.66
FLUX.982,0
FLUX.983,7.51
FLUX.984,12.08
FLUX.985,6
FLUX.986,5.63
FLUX.987,9.13
FLUX.988,-1.41
FLUX.989,8.53
FLUX.990,7.55
FLUX.991,7.38
FLUX.992,6.79
FLUX.993,0.96
FLUX.994,9.26
FLUX.995,7.2
FLUX.996,13.09
FLUX.997,-1.63
FLUX.998,2.52
FLUX.999,2.86
FLUX.1000,-0.32
FLUX.1001,9.08
FLUX.1002,-4.86
FLUX.1003,3.7
FLUX.1004,-3.26
FLUX.1005,4.43
FLUX.1006,1.68
FLUX.1007,3.56
FLUX.1008,-0.83
FLUX.1009,13.93
FLUX.1010,8.85
FLUX.1011,3.41
FLUX.1012,7.48
FLUX.1013,-0.25
FLUX.1014,9.21
FLUX.1015,6.44
FLUX.1016,6.53
FLUX.1017,7.18
FLUX.1018,5.14
FLUX.1019,1.74
FLUX.1020,4.63
FLUX.1021,3.72
FLUX.1022,0.63
FLUX.1023,4.97
FLUX.1024,5.11
FLUX.1025,0.35
FLUX.1026,2.44
FLUX.1027,14.1
FLUX.1028,3.36
FLUX.1029,8.85
FLUX.1030,3.71
FLUX.1031,16.66
FLUX.1032,6.7
FLUX.1033,1.72
FLUX.1034,7.78
FLUX.1035,3.11
FLUX.1036,4.43
FLUX.1037,5.27
FLUX.1038,6.25
FLUX.1039,2.89
FLUX.1040,-0.35
FLUX.1041,-1.61
FLUX.1042,-2.72
FLUX.1043,1.41
FLUX.1044,5.06
FLUX.1045,-2.01
FLUX.1046,-3.41
FLUX.1047,5.07
FLUX.1048,12.7
FLUX.1049,3.19
FLUX.1050,5.62
FLUX.1051,8.58
FLUX.1052,3.49
FLUX.1053,19.8
FLUX.1054,6.85
FLUX.1055,5.45
FLUX.1056,4.97
FLUX.1057,7.5
FLUX.1058,3.66
FLUX.1059,7.94
FLUX.1060,5.92
FLUX.1061,-0.13
FLUX.1062,-1.21
FLUX.1063,1.36
FLUX.1064,3.32
FLUX.1065,2.49
FLUX.1066,7.33
FLUX.1067,1.75
FLUX.1068,-1.86
FLUX.1069,-1.52
FLUX.1070,1.27
FLUX.1071,1.93
FLUX.1072,-1.86
FLUX.1073,7.35
FLUX.1074,2.18
FLUX.1075,6.77
FLUX.1076,6.14
FLUX.1077,0.29
FLUX.1078,3.93
FLUX.1079,2.1
FLUX.1080,-2.39
FLUX.1081,2.59
FLUX.1082,7.7
FLUX.1083,4.1
FLUX.1084,6.6
FLUX.1085,3.89
FLUX.1086,8.94
FLUX.1087,3.64
FLUX.1088,6.96
FLUX.1089,3.24
FLUX.1090,0.6
FLUX.1091,2.86
FLUX.1092,-6.3
FLUX.1093,1.89
FLUX.1094,4.81
FLUX.1095,-0.55
FLUX.1096,2.33
FLUX.1097,5.74
FLUX.1098,7.24
FLUX.1099,-3.31
FLUX.1100,2.39
FLUX.1101,1.95
FLUX.1102,3.54
FLUX.1103,1.04
FLUX.1104,10.9
FLUX.1105,7.54
FLUX.1106,6.38
FLUX.1107,3.43
FLUX.1108,4.19
FLUX.1109,82.6
FLUX.1110,1.9
FLUX.1111,7.94
FLUX.1112,4.77
FLUX.1113,4.69
FLUX.1114,3.39
FLUX.1115,0.57
FLUX.1116,0.81
FLUX.1117,8.23
FLUX.1118,7.71
FLUX.1119,0.65
FLUX.1120,5.93
FLUX.1121,5.3
FLUX.1122,-7.64
FLUX.1123,1.07
FLUX.1124,-1.38
FLUX.1125,6.25
FLUX.1126,1.78
FLUX.1127,4.84
FLUX.1128,2.15
FLUX.1129,1.95
FLUX.1130,9.15
FLUX.1131,10.49
FLUX.1132,3.45
FLUX.1133,2.76
FLUX.1134,2.84
FLUX.1135,-3.57
FLUX.1136,8.11
FLUX.1137,9.18
FLUX.1138,2.07
FLUX.1139,0.56
FLUX.1140,6.82
FLUX.1141,2.9
FLUX.1142,0.84
FLUX.1143,12.23
FLUX.1144,-4.88
FLUX.1145,3.46
FLUX.1146,6.12
FLUX.1147,4.07
FLUX.1148,9.06
FLUX.1149,7.16
FLUX.1150,9.32
FLUX.1151,0.75
FLUX.1152,5.7
FLUX.1153,8.9
FLUX.1154,7.47
FLUX.1155,4.89
FLUX.1156,7.66
FLUX.1157,4.31
FLUX.1158,0.23
FLUX.1159,6.99
FLUX.1160,-1.97
FLUX.1161,9.93
FLUX.1162,4.67
FLUX.1163,7.98
FLUX.1164,14.33
FLUX.1165,2
FLUX.1166,3.34
FLUX.1167,3.51
FLUX.1168,4.79
FLUX.1169,6.26
FLUX.1170,76.53
FLUX.1171,4.02
FLUX.1172,1.76
FLUX.1173,2.55
FLUX.1174,4.65
FLUX.1175,8.54
FLUX.1176,1.29
FLUX.1177,7.47
FLUX.1178,4.94
FLUX.1179,-5.7
FLUX.1180,6.63
FLUX.1181,-1.52
FLUX.1182,-3.33
FLUX.1183,4.43
FLUX.1184,10.47
FLUX.1185,9.93
FLUX.1186,8.4
FLUX.1187,3.47
FLUX.1188,0.62
FLUX.1189,-1.61
FLUX.1190,2.73
FLUX.1191,3.54
FLUX.1192,3.43
FLUX.1193,11.52
FLUX.1194,6.52
FLUX.1195,7.3
FLUX.1196,1.87
FLUX.1197,3.62
FLUX.1198,0.2
FLUX.1199,9.49
