FLUX,VALUE
FLUX.509,75.2
FLUX.510,156.8
FLUX.511,116.48
FLUX.512,152.45
FLUX.513,125.04
FLUX.514,104.35
FLUX.515,64.84
FLUX.516,31.59
FLUX.517,92.38
FLUX.518,37.26
FLUX.519,69.38
FLUX.520,24.62
FLUX.521,88.09
FLUX.522,106.93
FLUX.523,44.2
FLUX.524,115.05
FLUX.525,124.76
FLUX.526,69.6
FLUX.527,51.79
FLUX.528,64.32
FLUX.529,49.9
FLUX.530,108.98
FLUX.531,80.54
FLUX.532,113.85
FLUX.533,137.4
FLUX.534,177.27
FLUX.535,208.26
FLUX.536,100.48
FLUX.537,113.3
FLUX.538,27.3
FLUX.539,54.7
FLUX.540,89.82
FLUX.541,73.54
FLUX.542,81.51
FLUX.543,95.76
FLUX.544,56.37
FLUX.545,83.52
FLUX.546,74.24
FLUX.547,74.99
FLUX.548,78.54
FLUX.549,73.41
FLUX.550,116.71
FLUX.551,112.79
FLUX.552,114.23
FLUX.553,111.8
FLUX.554,88.41
FLUX.555,87.88
FLUX.556,95.02
FLUX.557,53.73
FLUX.558,60.96
FLUX.559,83.95
FLUX.560,92.4
FLUX.561,86.09
FLUX.562,77.26
FLUX.563,55.05
FLUX.564,111.76
FLUX.565,83.79
FLUX.566,39.24
FLUX.567,109.87
FLUX.568,67.77
FLUX.569,60.77
FLUX.570,60.82
FLUX.571,90.84
FLUX.572,13.3
FLUX.573,48.77
FLUX.574,48.77
FLUX.575,48.77
FLUX.576,47.2
FLUX.577,85.43
FLUX.578,71.55
FLUX.579,170.91
FLUX.580,81.49
FLUX.581,140.09
FLUX.582,83.99
FLUX.583,63.84
FLUX.584,89.73
FLUX.585,145.55
FLUX.586,131.23
FLUX.587,123.35
FLUX.588,79.66
FLUX.589,72.1
FLUX.590,103.93
FLUX.591,133.84
FLUX.592,128.15
FLUX.593,91.43
FLUX.594,72.77
FLUX.595,134.45
FLUX.596,88.99
FLUX.597,65.7
FLUX.598,66.98
FLUX.599,83.15
FLUX.600,83.15
FLUX.601,83.15
FLUX.602,83.15
FLUX.603,82.24
FLUX.604,112.02
FLUX.605,60.59
FLUX.606,130.01
FLUX.607,85.71
FLUX.608,98.3
FLUX.609,135.23
FLUX.610,52.2
FLUX.611,47.49
FLUX.612,50.82
FLUX.613,86.65
FLUX.614,79.85
FLUX.615,7.6
FLUX.616,31.91
FLUX.617,34.6
FLUX.618,51.98
FLUX.619,1.93
FLUX.620,14.13
FLUX.621,50.37
FLUX.622,80.26
FLUX.623,46.27
FLUX.624,91.77
FLUX.625,40.84
FLUX.626,72.96
FLUX.627,34.55
FLUX.628,29.2
FLUX.629,-8.54
FLUX.630,5.38
FLUX.631,35.24
FLUX.632,21.66
FLUX.633,2.82
FLUX.634,34.24
FLUX.635,28.02
FLUX.636,16.9
FLUX.637,6.45
FLUX.638,28.98
FLUX.639,21.35
FLUX.640,53.73
FLUX.641,50.71
FLUX.642,78.57
FLUX.643,-5.48
FLUX.644,5.05
FLUX.645,14.87
FLUX.646,17.4
FLUX.647,21.01
FLUX.648,7.13
FLUX.649,-83.91
FLUX.650,23.93
FLUX.651,2.77
FLUX.652,51.59
FLUX.653,47.6
FLUX.654,241.32
FLUX.655,91.09
FLUX.656,107.68
FLUX.657,101.87
FLUX.658,134.85
FLUX.659,139.09
FLUX.660,123.35
FLUX.661,134.88
FLUX.662,146.99
FLUX.663,135.15
FLUX.664,164.1
FLUX.665,119.96
FLUX.666,72.79
FLUX.667,105.02
FLUX.668,200.45
FLUX.669,36.09
FLUX.670,36.09
FLUX.671,26.07
FLUX.672,1.57
FLUX.673,28.49
FLUX.674,39.88
FLUX.675,42.49
FLUX.676,11.45
FLUX.677,6.52
FLUX.678,-6.68
FLUX.679,60.9
FLUX.680,8.21
FLUX.681,30.48
FLUX.682,50.15
FLUX.683,66.51
FLUX.684,48.88
FLUX.685,96.24
FLUX.686,39.84
FLUX.687,48.27
FLUX.688,22.37
FLUX.689,45.16
FLUX.690,55.3
FLUX.691,83.01
FLUX.692,35.63
FLUX.693,-0.71
FLUX.694,35.48
FLUX.695,30.7
FLUX.696,-20.74
FLUX.697,39.12
FLUX.698,40.91
FLUX.699,-15.27
FLUX.700,-18.13
FLUX.701,12.68
FLUX.702,37.88
FLUX.703,49.45
FLUX.704,98.68
FLUX.705,101.41
FLUX.706,104.13
FLUX.707,168.12
FLUX.708,183.87
FLUX.709,172.3
FLUX.710,180.4
FLUX.711,189.98
FLUX.712,206.65
FLUX.713,260.99
FLUX.714,190.07
FLUX.715,259.65
FLUX.716,318.34
FLUX.717,17.73
FLUX.718,17.73
FLUX.719,48.02
FLUX.720,62.35
FLUX.721,41.96
FLUX.722,105.73
FLUX.723,90.98
FLUX.724,104.57
FLUX.725,91.54
FLUX.726,120.79
FLUX.727,138.68
FLUX.728,167.68
FLUX.729,-10.48
FLUX.730,-10.48
FLUX.731,27.82
FLUX.732,-3.82
FLUX.733,-22.3
FLUX.734,-9.34
FLUX.735,-21.68
FLUX.736,-14.15
FLUX.737,-31.85
FLUX.738,-78.32
FLUX.739,-10.09
FLUX.740,19.26
FLUX.741,-0.95
FLUX.742,7.21
FLUX.743,-19.71
FLUX.744,22.54
FLUX.745,75.29
FLUX.746,53.93
FLUX.747,124.26
FLUX.748,126.46
FLUX.749,122.52
FLUX.750,131.98
FLUX.751,207.57
FLUX.752,254.93
FLUX.753,60.54
FLUX.754,60.54
FLUX.755,114.43
FLUX.756,164.1
FLUX.757,194.87
FLUX.758,231.38
FLUX.759,212.3
FLUX.760,260.46
FLUX.761,268.84
FLUX.762,345.38
FLUX.763,353.62
FLUX.764,457.05
FLUX.765,12.01
FLUX.766,12.01
FLUX.767,-5.85
FLUX.768,10.65
FLUX.769,-55.49
FLUX.770,-27.18
FLUX.771,-52.46
FLUX.772,19.93
FLUX.773,23.93
FLUX.774,47.87
FLUX.775,88.68
FLUX.776,102.74
FLUX.777,22.12
FLUX.778,22.12
FLUX.779,15.71
FLUX.780,33.07
FLUX.781,27.13
FLUX.782,-13.49
FLUX.783,28.68
FLUX.784,70.95
FLUX.785,17.05
FLUX.786,10.63
FLUX.787,97.84
FLUX.788,108.38
FLUX.789,-14.96
FLUX.790,-14.96
FLUX.791,-7.98
FLUX.792,0.93
FLUX.793,2.15
FLUX.794,-17.96
FLUX.795,130.12
FLUX.796,97.93
FLUX.797,127.1
FLUX.798,78.15
FLUX.799,108.51
FLUX.800,118.54
FLUX.801,-78.35
FLUX.802,-78.35
FLUX.803,-104.8
FLUX.804,-71.12
FLUX.805,-8.77
FLUX.806,-10.05
FLUX.807,-10.73
FLUX.808,-31.24
FLUX.809,31.45
FLUX.810,61.57
FLUX.811,78.9
FLUX.812,114.13
FLUX.813,2.05
FLUX.814,2.05
FLUX.815,-30.16
FLUX.816,-2.65
FLUX.817,21.71
FLUX.818,43.46
FLUX.819,-4.71
FLUX.820,19.02
FLUX.821,22.45
FLUX.822,52.71
FLUX.823,-45.07
FLUX.824,-32.29
FLUX.825,11.37
FLUX.826,16.46
FLUX.827,4.82
FLUX.828,7.23
FLUX.829,1.02
FLUX.830,26.21
FLUX.831,62.04
FLUX.832,27.38
FLUX.833,53.76
FLUX.834,70.41
FLUX.835,97.16
FLUX.836,71.15
FLUX.837,34.87
FLUX.838,100.51
FLUX.839,151.02
FLUX.840,177.51
FLUX.841,193.4
FLUX.842,269.09
FLUX.843,205.37
FLUX.844,232.34
FLUX.845,253.87
FLUX.846,247.13
FLUX.847,311.12
FLUX.848,347.76
FLUX.849,29.71
FLUX.850,29.71
FLUX.851,10.79
FLUX.852,69.37
FLUX.853,88.6
FLUX.854,112.62
FLUX.855,106.24
FLUX.856,140.18
FLUX.857,90.79
FLUX.858,167.79
FLUX.859,162.99
FLUX.860,262.23
FLUX.861,-58.16
FLUX.862,-58.16
FLUX.863,8.68
FLUX.864,-26.2
FLUX.865,15.09
FLUX.866,-79.91
FLUX.867,-24.88
FLUX.868,-37.45
FLUX.869,-7.76
FLUX.870,-28.6
FLUX.871,-22.05
FLUX.872,-44.79
FLUX.873,-15.93
FLUX.874,32.01
FLUX.875,74.09
FLUX.876,104.05
FLUX.877,76.26
FLUX.878,134.07
FLUX.879,75.65
FLUX.880,114.1
FLUX.881,154.8
FLUX.882,168.99
FLUX.883,205.16
FLUX.884,199.63
FLUX.885,31.84
FLUX.886,31.84
FLUX.887,-7.99
FLUX.888,-12.46
FLUX.889,-85.96
FLUX.890,-10.4
FLUX.891,-29.6
FLUX.892,0.13
FLUX.893,59.32
FLUX.894,43.88
FLUX.895,72.84
FLUX.896,67.24
FLUX.897,113.68
FLUX.898,126.7
FLUX.899,58.1
FLUX.900,98.59
FLUX.901,118.07
FLUX.902,165.1
FLUX.903,201.66
FLUX.904,181.74
FLUX.905,184.74
FLUX.906,185.55
FLUX.907,273.57
FLUX.908,312.87
FLUX.909,31.48
FLUX.910,31.48
FLUX.911,8.76
FLUX.912,-44.05
FLUX.913,13.55
FLUX.914,10.04
FLUX.915,32.84
FLUX.916,65.37
FLUX.917,103.54
FLUX.918,78.04
FLUX.919,185.52
FLUX.920,127.6
FLUX.921,30.85
FLUX.922,30.85
FLUX.923,29.3
FLUX.924,38.29
FLUX.925,79.01
FLUX.926,89.77
FLUX.927,51.68
FLUX.928,20.6
FLUX.929,42.76
FLUX.930,73.85
FLUX.931,48.32
FLUX.932,23.66
FLUX.933,-29.04
FLUX.934,-55.32
FLUX.935,4.65
FLUX.936,-68.18
FLUX.937,-118.09
FLUX.938,-153.13
FLUX.939,-4.88
FLUX.940,1.85
FLUX.941,-32.99
FLUX.942,-13.23
FLUX.943,41.29
FLUX.944,58.62
FLUX.945,157.26
FLUX.946,149.8
FLUX.947,100.51
FLUX.948,140.26
FLUX.949,205.35
FLUX.950,201.88
FLUX.951,211.85
FLUX.952,218.24
FLUX.953,200.12
FLUX.954,254.15
FLUX.955,236.96
FLUX.956,247.16
FLUX.957,15.77
FLUX.958,15.77
FLUX.959,34.77
FLUX.960,48.41
FLUX.961,57.21
FLUX.962,11.37
FLUX.963,36.77
FLUX.964,-18.43
FLUX.965,69.63
FLUX.966,5.26
FLUX.967,50.4
FLUX.968,28.12
FLUX.969,124.21
FLUX.970,60.73
FLUX.971,130.63
FLUX.972,172.82
FLUX.973,115.8
FLUX.974,140.65
FLUX.975,43.88
FLUX.976,70.41
FLUX.977,129.04
FLUX.978,191.45
FLUX.979,151.18
FLUX.980,166.12
FLUX.981,31.62
FLUX.982,31.62
FLUX.983,10.6
FLUX.984,44.71
FLUX.985,53.96
FLUX.986,75.29
FLUX.987,39.49
FLUX.988,13.13
FLUX.989,37.05
FLUX.990,-2.02
FLUX.991,-9.65
FLUX.992,-15.49
FLUX.993,37.1
FLUX.994,54.99
FLUX.995,12.13
FLUX.996,69.74
FLUX.997,41.29
FLUX.998,0.34
FLUX.999,55.8
FLUX.1000,23.26
FLUX.1001,16.84
FLUX.1002,31.99
FLUX.1003,108.01
FLUX.1004,50.27
FLUX.1005,106.23
FLUX.1006,92.46
FLUX.1007,165.05
FLUX.1008,126.07
FLUX.1009,78.93
FLUX.1010,55.07
FLUX.1011,149.79
FLUX.1012,187.2
FLUX.1013,166.01
FLUX.1014,236.71
FLUX.1015,251.52
FLUX.1016,335.84
FLUX.1017,23.52
FLUX.1018,23.52
FLUX.1019,52.32
FLUX.1020,36.99
FLUX.1021,29.01
FLUX.1022,34.87
FLUX.1023,40.84
FLUX.1024,117.26
FLUX.1025,111.16
FLUX.1026,105.9
FLUX.1027,153.15
FLUX.1028,152.3
FLUX.1029,47.57
FLUX.1030,47.57
FLUX.1031,5.55
FLUX.1032,49.85
FLUX.1033,24.77
FLUX.1034,-33.23
FLUX.1035,72.1
FLUX.1036,39.79
FLUX.1037,19.74
FLUX.1038,37.41
FLUX.1039,23.1
FLUX.1040,-45.34
FLUX.1041,-24.15
FLUX.1042,-31.66
FLUX.1043,-23.23
FLUX.1044,-26.01
FLUX.1045,-0.59
FLUX.1046,-21.4
FLUX.1047,-29.95
FLUX.1048,-28.51
FLUX.1049,-19.84
FLUX.1050,10.68
FLUX.1051,39.07
FLUX.1052,-22.3
FLUX.1053,21.4
FLUX.1054,21.4
FLUX.1055,-21.95
FLUX.1056,-12.38
FLUX.1057,20.34
FLUX.1058,-29.07
FLUX.1059,11.16
FLUX.1060,27.04
FLUX.1061,-3.07
FLUX.1062,-17.16
FLUX.1063,-49.01
FLUX.1064,-78.73
FLUX.1065,-51.02
FLUX.1066,-46.84
FLUX.1067,22.57
FLUX.1068,270.57
FLUX.1069,-31.76
FLUX.1070,-53.8
FLUX.1071,-0.73
FLUX.1072,25.63
FLUX.1073,43.71
FLUX.1074,-4.12
FLUX.1075,36.12
FLUX.1076,-41.87
FLUX.1077,9.04
FLUX.1078,0.65
FLUX.1079,59.45
FLUX.1080,109.45
FLUX.1081,104.49
FLUX.1082,72.95
FLUX.1083,112.55
FLUX.1084,173.35
FLUX.1085,149.24
FLUX.1086,135.02
FLUX.1087,157.51
FLUX.1088,137.46
FLUX.1089,-22.55
FLUX.1090,-22.55
FLUX.1091,-45.54
FLUX.1092,-24.65
FLUX.1093,36.2
FLUX.1094,94.38
FLUX.1095,98.18
FLUX.1096,111.95
FLUX.1097,154.8
FLUX.1098,246.48
FLUX.1099,182.79
FLUX.1100,218.77
FLUX.1101,-4.01
FLUX.1102,-4.01
FLUX.1103,50.1
FLUX.1104,-3.02
FLUX.1105,50.62
FLUX.1106,-0.32
FLUX.1107,35.23
FLUX.1108,108.54
FLUX.1109,26.13
FLUX.1110,77.54
FLUX.1111,83.99
FLUX.1112,80.65
FLUX.1113,-15.77
FLUX.1114,-15.77
FLUX.1115,38.49
FLUX.1116,90.26
FLUX.1117,82.96
FLUX.1118,146.52
FLUX.1119,72.95
FLUX.1120,72.95
FLUX.1121,105.07
FLUX.1122,-57.2
FLUX.1123,8.18
FLUX.1124,7.09
FLUX.1125,40.48
FLUX.1126,5.35
FLUX.1127,-6.12
FLUX.1128,-33.73
FLUX.1129,-43.21
FLUX.1130,44.77
FLUX.1131,-2.76
FLUX.1132,-28.76
FLUX.1133,9.41
FLUX.1134,29.54
FLUX.1135,35.77
FLUX.1136,63.27
FLUX.1137,52.85
FLUX.1138,144.51
FLUX.1139,75.09
FLUX.1140,153.82
FLUX.1141,128.12
FLUX.1142,127.16
FLUX.1143,164.8
FLUX.1144,114.38
FLUX.1145,115.43
FLUX.1146,108.51
FLUX.1147,90.2
FLUX.1148,238.52
FLUX.1149,47.9
FLUX.1150,47.9
FLUX.1151,29.27
FLUX.1152,36.02
FLUX.1153,41.98
FLUX.1154,80.37
FLUX.1155,71.93
FLUX.1156,111.15
FLUX.1157,146.38
FLUX.1158,102.76
FLUX.1159,125.48
FLUX.1160,75.04
FLUX.1161,50.07
FLUX.1162,50.07
FLUX.1163,86.85
FLUX.1164,66.05
FLUX.1165,59.48
FLUX.1166,86.96
FLUX.1167,47.9
FLUX.1168,16.55
FLUX.1169,64.6
FLUX.1170,102.76
FLUX.1171,86.62
FLUX.1172,178.01
FLUX.1173,61.71
FLUX.1174,61.71
FLUX.1175,42.57
FLUX.1176,47.23
FLUX.1177,61.26
FLUX.1178,35.93
FLUX.1179,65.12
FLUX.1180,74.29
FLUX.1181,97.93
FLUX.1182,78.32
FLUX.1183,73.12
FLUX.1184,145.9
FLUX.1185,81.98
FLUX.1186,109.01
FLUX.1187,53.51
FLUX.1188,30.37
FLUX.1189,11.46
FLUX.1190,66.51
FLUX.1191,83.13
FLUX.1192,79.93
FLUX.1193,136.26
FLUX.1194,145.07
FLUX.1195,155.01
FLUX.1196,108.8
FLUX.1197,65.6
FLUX.1198,65.6
FLUX.1199,71.57
FLUX.1200,86.27
FLUX.1201,88.71
FLUX.1202,117.59
FLUX.1203,86.37
FLUX.1204,88.32
FLUX.1205,99.65
FLUX.1206,41.68
FLUX.1207,83.04
FLUX.1208,230.49
FLUX.1209,85.88
FLUX.1210,72.46
FLUX.1211,40.9
FLUX.1212,43.8
FLUX.1213,72.55
FLUX.1214,63.32
FLUX.1215,51.23
